
@RELATION agua-with-CAT-InspVis

@ATTRIBUTE TRANS REAL
@ATTRIBUTE OD REAL
@ATTRIBUTE PH REAL
@ATTRIBUTE DQO REAL
@ATTRIBUTE FeTotal REAL
@ATTRIBUTE NH4 REAL
@ATTRIBUTE NO3 REAL
@ATTRIBUTE PO4 REAL
@ATTRIBUTE PTOTAL REAL
@ATTRIBUTE STS REAL
@ATTRIBUTE CHLOROPHYLL REAL
@ATTRIBUTE TURB REAL
@ATTRIBUTE CYCLE {filling, full, emptying, dry}

@DATA
2.3,1.44,7.43,15.55,2.59,187.65,10.01,20.44,37.66,1.4,6.28,14.42,emptying
2.5,1.46,6.43,11.6,3.79,193.29,11.22,24.22,41.5,5,1.67,6.01,filling
1.2,1.55,6.69,1.57,1.57,26.23,168.8,7.17,32.53,17,8.5,22.4,filling
1,1.63,6.48,7.8,3.08,166.04,43.23,15.82,98.69,15.6,4.72,20.05,full
3.2,1.64,6.34,12.93,8.33,162.52,3.98,48.04,73.29,27.6,4.48,11.83,full
2.6,1.64,7,7.39,4.08,70.62,46.12,1.97,24.27,4.8,3.91,14.46,emptying
2.6,1.64,7,7.39,4.08,70.62,46.12,1.97,24.27,4.8,6.64,14.46,emptying
2.8,1.82,7.19,5.44,0.97,57.76,31.43,6.58,19.96,3.6,5.63,4.6,emptying
2,1.84,6.7,7.11,1.32,88.37,3.01,2.67,58.24,17.6,11.12,30.4,emptying
3,1.86,7.34,6.89,0.15,7.37,151.65,1.97,37.67,18.2,4.41,6.85,dry
3.5,1.89,6.6,3.07,0.55,11.81,48.89,1.97,13.33,1.8,2.38,4.31,full
1.7,1.95,7.17,6.38,0.78,84.4,84.5,11.41,19.49,1.2,4.12,5.42,filling
1.5,1.96,6.93,5.8,0.92,62.59,65,14.43,29.96,5,6.74,7.03,filling
1.6,1.97,7.23,13.2,5.15,101.91,14.23,2.24,56.59,7,10.38,14.46,dry
3,1.97,6.77,7.2,2.14,28.45,113.52,4.74,43.15,2.6,4.12,8.17,filling
2.8,2.01,7.38,6.4,0.79,59.84,7.21,12.88,0.24,0.2,1.9,4.89,full
2,2.04,7.23,8.16,0.89,242.62,20.24,3.01,42.81,2,4.26,2.25,emptying
3.3,2.06,6.59,6.77,1.25,12,27.35,22.29,24.36,1.8,1.67,4.78,full
2.5,2.07,7.02,4.32,1.06,139.29,20.85,3.61,13.42,3.4,6.49,3.41,dry
2.2,2.07,6.5,6.16,1.97,47.31,2.05,3.7,50.7,4.44,8.09,7.91,full
2.5,2.08,6.7,8.64,1.77,185.45,10.8,2.24,5.44,4.4,4.26,4.79,emptying
3,2.1,6.75,6.14,1.29,48.42,15.25,0.93,16.76,2.4,5.71,2.01,full
2.6,2.12,6.86,6.96,1.19,170.49,55.41,12.63,31.84,3.6,6.64,5.23,dry
2.8,2.14,7.23,7.36,3.18,7.41,35.56,18.38,21.5,7.4,0,17.87,full
0.9,2.14,7.19,7.92,0.76,32.59,49.26,31.04,33.21,7.4,8.55,10.07,filling
2.6,2.14,6.6,6.14,0.94,18.97,38.03,25.83,32.15,1.2,0.71,3.29,full
0.9,2.26,7.45,8.57,1.96,45.89,55.36,26.79,35.27,5.6,8.5,14.3,filling
2,2.31,6.97,7.01,0.48,91.7,9.42,1.63,21.23,3.6,11.12,16.6,emptying
2.5,2.34,6.99,4.62,2.74,240.4,10.78,0.24,40.75,12.4,6.49,11.87,dry
3.9,2.37,6.83,6.89,0.88,43.9,37.15,6.83,13.76,4.2,4.41,7.07,dry
2.4,2.43,6.68,8.16,1.22,174.54,9.25,9.41,17.5,1,4.26,5.04,emptying
3,2.53,7.14,6.48,1.52,4.11,10.84,14.6,0.95,0.8,0.95,2.43,full
3.9,2.57,6.64,6.89,7.13,34.43,123.32,4.26,11.89,1.4,3.19,1.11,emptying
1.6,2.65,6.82,11.47,0.88,166.22,22.85,28.4,79.76,10.5,10.38,15.89,filling
3,2.69,6.9,6.4,1.32,26.23,5.19,1.97,21.21,2.6,4.12,6.72,filling
3.1,2.77,7.16,6.89,0.79,9.61,135.83,7.39,20.76,9.4,4.41,3.51,dry
2.5,2.78,6.8,9.86,0.92,60.09,2.86,21,37.45,1.6,4.52,2.29,full
1.5,2.79,6.56,3.23,1.82,139.42,3.55,3.01,71.27,23.2,11.56,12.77,dry
2.8,2.81,6.68,4.8,1.14,10.7,99.71,9.59,39.04,5.8,4.12,5.25,full
2,2.88,6.8,7.78,0.62,103.03,6.09,7.04,12.09,3.4,11.12,5.64,emptying
2.8,2.89,6.65,3.92,0.99,5.15,68.64,3.7,16.76,1.6,3.81,1.76,full
2.5,2.93,6.57,5.8,0.27,2.92,127.35,0.58,7.85,1.6,6.74,2.76,full
1.5,2.94,6.48,3.23,0.6,131.65,4.84,0.59,29.1,4.2,5.47,4.4,dry
1.3,2.94,6.88,9.76,1.32,16.24,127.23,13.46,37.43,10.2,8.55,62.8,filling
0.8,2.95,7.47,9.92,3.06,35.98,41.31,14.6,42.64,8.8,4.72,20.4,filling
