Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Cluster
23.913043,68.228571,41.899441,47.790619,10.284035,14.167738,9.218009,1.233959,20.251061,18.012422,21.612001,38.158497,C1
50,76.457143,33.519553,17.878994,8.423115,3.192068,9.43128,5.791379,16.143622,7.670807,21.789982,3.847916,C1
28.26087,64.914286,42.458101,18.354861,6.268364,1.822273,20.622038,3.520895,23.41702,14.285714,41.749301,6.535349,C1
41.304348,5.371429,18.435754,75.526852,42.997062,36.391059,2.079384,46.248766,83.542551,4.968944,18.611747,21.606352,C1
67.391304,75.2,76.536313,21.14208,10.479922,5.924241,17.446682,23.659098,13.180727,2.484472,10.297483,1.786532,C1
36.956522,63.428571,46.927374,43.439837,6.75808,6.317377,2.535545,22.60612,22.95551,4.347826,18.052377,6.336845,C1
15.217391,82.742857,55.307263,15.907546,6.856024,2.645633,28.767773,6.367226,23.41702,24.223602,24.815662,13.192854,C1
58.695652,49.714286,31.843575,14.887831,1.958864,7.034418,1.765403,0.098717,1.901421,3.10559,20.56954,2.824859,C1
56.521739,58.285714,44.692737,35.825969,8.031342,12.038869,7.008294,7.897335,1.098394,2.484472,7.271803,3.939533,C1
60.869565,37.714286,22.346369,42.828008,10.284035,3.706359,19.158768,33.201711,20.943327,2.484472,6.05136,1.740724,C1
26.086957,62.4,51.396648,64.10605,14.691479,38.952626,5.580569,12.537019,19.789551,6.21118,15.128401,5.405405,C1
30.434783,49.371429,51.955307,26.104691,4.89716,20.386213,54.709716,4.590326,12.599225,7.453416,19.069413,12.856925,C1
8.695652,75.542857,44.134078,37.117607,33.398629,7.034418,9.798578,9.213557,72.152483,15.52795,14.263921,17.697358,C1
56.521739,10.514286,37.988827,42.895989,9.892262,9.709722,2.731043,19.200395,13.900683,6.832298,5.441139,4.870973,C1
6.521739,64.914286,50.837989,40.924541,18.805093,6.80447,21.806872,51.201053,50.286136,70.186335,9.687262,48.999847,C1
47.826087,61.485714,67.597765,26.716519,0.587659,4.015429,6.327014,2.385653,14.943696,0,12.712942,16.521606,C1
0,75.085714,56.98324,52.073419,25.954946,7.155573,40.545024,45.903258,82.785675,93.78882,9.07704,58.314246,C1
60.869565,6.171429,13.407821,63.902107,26.542605,50.111265,9.03436,59.098388,67.574303,38.509317,11.390796,86.257444,C1
28.26087,12.8,30.167598,23.385452,30.754163,19.379883,2.126777,1.233959,68.035813,27.329193,29.392321,10.688655,C1
47.826087,43.771429,46.368715,40.244731,5.778648,8.513006,5.053318,16.238894,11.45468,9.31677,11.212815,7.650023,C1
39.130435,82.4,52.513966,23.24949,3.721841,3.192068,5.870853,2.385653,13.29149,6.832298,16.933638,6.459001,C1
63.043478,56.914286,40.223464,12.440517,4.113614,1.547819,9.851896,0.098717,10.762415,4.347826,21.789982,11.940754,C1
47.826087,73.142857,62.569832,26.104691,3.819785,2.967066,39.188389,14.116486,9.728632,3.726708,12.102721,6.840739,C1
34.782609,55.771429,44.692737,59.211421,8.619001,72.475522,8.898104,59.312274,20.435665,9.31677,16.933638,5.542831,C1
2.173913,81.942857,64.804469,52.073419,12.830558,48.187617,50.533175,28.430405,29.859701,91.925466,7.271803,43.04474,C1
4.347826,56.685714,49.72067,40.924541,11.557297,8.81713,31.220379,24.679171,36.773122,68.198758,7.856598,28.920446,C1
58.695652,58.4,62.011173,42.895989,7.149853,12.825141,4.111374,20.483712,11.159313,4.968944,2.72057,2.259887,C1
28.26087,69.942857,53.631285,40.244731,4.3095,6.485511,37.251185,1.809806,11.390068,10.559006,8.136283,14.170102,C1
10.869565,47.2,44.134078,49.422162,6.75808,8.57482,25.716825,37.726226,28.115193,11.801242,15.738622,11.528478,C1
0,49.828571,11.173184,85.112169,8.031342,24.240926,22.488152,53.882856,76.416836,53.198758,11.085685,71.446022,C1
56.521739,2.057143,34.078212,69.00068,10.381978,45.848581,9.994076,84.172425,68.478863,12.42236,11.390796,10.322187,C1
41.304348,53.142857,63.128492,73.011557,4.211557,0.202749,0.900474,21.470879,20.694111,18.012422,15.738622,2.947015,C1
13.043478,53.142857,32.960894,38.00136,13.320274,23.395312,30.716825,30.552813,17.777368,26.552795,29.392321,12.765308,C1
47.826087,69.371429,60.893855,26.104691,3.917728,1.241222,40.959716,15.169464,14.611409,2.484472,12.102721,5.771874,C1
8.695652,82.857143,83.240223,92.92998,5.582762,46.906834,5.811611,3.537348,28.41979,45.186335,32.519705,41.823179,C1
21.73913,65.714286,35.75419,33.378654,15.181195,7.781129,28.347156,40.605462,25.253831,14.285714,21.179761,17.437777,C1
47.826087,75.314286,37.430168,36.233855,7.247796,4.445653,4.135071,36.903587,24.967694,3.726708,10.297483,2.580547,C1
21.73913,82.514286,77.653631,28.687967,6.366308,18.68015,8.637441,23.165515,16.660513,18.012422,19.374523,9.833562,C1
43.478261,70.4,84.357542,48.878314,5.582762,0,0,11.862455,9.664021,9.31677,30.867023,8.779966,C1
26.086957,43.771429,36.312849,43.983685,5.876592,10.221541,0.088863,25.781507,32.158021,22.981366,28.527841,9.482364,C1
65.217391,7.657143,5.027933,24.541128,28.795299,22.94778,7.861374,16.057914,44.304966,13.043478,16.781083,13.421896,C1
26.086957,62.4,53.072626,46.702923,13.712047,41.909801,5.580569,15.712405,15.192911,5.590062,16.348843,5.344327,C1
60.869565,51.085714,77.094972,6.594154,4.113614,4.838789,4.300948,1.233959,5.916559,2.484472,18.154081,7.711101,C1
21.73913,79.885714,78.77095,18.966689,2.644466,7.526456,10.349526,2.385653,19.937235,19.875776,9.50928,15.78867,C1
34.782609,68.342857,55.307263,32.834806,3.721841,3.080803,40.396919,4.656137,13.29149,4.347826,17.137046,11.055123,C1
47.826087,70.628571,59.776536,9.313392,1.762977,6.211057,1.119668,8.670615,9.17482,6.832298,11.187389,7.817987,C1
34.782609,61.028571,70.391061,40.244731,5.288932,9.242409,47.908768,1.118789,11.750046,7.453416,1.017035,10.429073,C1
67.391304,51.885714,30.726257,24.949014,0.979432,8.681139,3.720379,8.292201,23.730847,4.347826,13.907958,14.750344,C1
13.043478,76.342857,43.575419,23.24949,14.397649,3.211848,1.866114,51.727542,45.966402,60.869565,18.154081,17.376699,C1
78.26087,66.857143,70.391061,61.25085,1.958864,0.202749,1.409953,7.33794,5.002769,0.621118,10.297483,1.725454,C1
34.782609,61.485714,62.569832,48.878314,3.330069,24.317575,7.35782,0.098717,39.874469,6.832298,19.959319,3.282944,C1
21.73913,67.428571,55.307263,23.589395,5.778648,2.37118,2.790284,1.233959,11.713125,12.42236,11.772184,45.487861,C1
47.826087,57.257143,55.865922,44.255608,4.995103,19.973296,12.624408,17.308325,14.611409,4.347826,11.645055,3.939533,C1
60.869565,58.628571,39.106145,29.299796,2.840353,1.288201,21.013033,13.557091,7.467233,3.10559,7.271803,1.755993,C1
4.347826,63.2,42.458101,40.380693,26.738492,13.149046,28.287915,51.201053,45.680266,83.850932,9.07704,64.880134,C1
39.130435,6.971429,13.96648,48.878314,50.342801,20.868361,43.584123,53.882856,60.08861,20.341615,12.865497,9.940449,C1
34.782609,69.828571,67.039106,20.190347,2.938296,4.838789,18.785545,2.945048,14.943696,26.086957,15.738622,2.47366,C1
34.782609,58.857143,51.955307,3.602991,3.428012,11.423202,6.824645,15.547878,10.891637,9.937888,19.959319,3.237135,C1
30.434783,33.6,24.022346,59.755269,11.94907,4.279992,3.566351,21.010201,31.585749,19.254658,28.273583,8.99374,C1
17.391304,65.828571,81.564246,52.209381,5.484819,7.034418,51.741706,4.656137,20.887945,18.012422,11.187389,27.805772,C1
17.391304,64.914286,42.458101,19.442556,8.227228,4.838789,36.569905,12.059888,35.443973,19.875776,33.282482,28.462361,C1
28.26087,20.571429,48.603352,36.777702,7.443683,20.868361,50.059242,18.476473,16.448219,3.10559,10.475464,8.108108,C1
56.521739,0.342857,22.905028,46.906866,28.011753,58.616853,14.164692,67.110892,55.122762,14.285714,13.704551,2.351504,C1
0,62.514286,34.078212,13.188307,14.397649,15.290278,23.441943,40.835801,65.423666,27.950311,5.441139,34.951901,C1
23.913043,60.228571,41.899441,31.883073,3.819785,9.5045,3.353081,0.674564,17.721986,22.360248,23.59522,12.39884,C1
