@relation agua-with-CAT-InspVis-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute TRANS numeric
@attribute OD numeric
@attribute PH numeric
@attribute DQO numeric
@attribute FeTotal numeric
@attribute NH4 numeric
@attribute NO3 numeric
@attribute PO4 numeric
@attribute PTOTAL numeric
@attribute STS numeric
@attribute CHLOROPHYLL numeric
@attribute TURB numeric
@attribute CYCLE {filling,full,emptying,dry}

@data
1.4,4.6,6.79,10.32,1.79,48.42,28.62,1.97,17.86,19.2,12.79,11.83,dry
2.7,4.06,6.8,4.16,0.74,11.81,20.54,2.67,54.12,2,5.95,2.7,full
2.5,5.02,7.19,8.65,0.19,35.11,23.9,3.72,12.46,13.4,8.14,65.6,dry
2.8,5.45,6.93,5.25,0.46,43.5,14.54,2.34,11.92,2.4,6.43,1.38,dry
3,5.77,7.38,3.2,0.27,8.48,33.52,10.05,23.27,0.8,6.64,2.98,emptying
2,4.41,7.2,3.49,0.43,101.69,33.14,0.53,13.63,3,8.57,26.2,filling
1.7,1.27,6.84,4.41,3.16,78.38,3.59,0.93,75.38,9,11.56,7.11,dry
2.8,1.82,7.19,5.44,0.97,57.76,31.43,6.58,19.96,3.6,5.63,4.6,emptying
2.6,6.33,7.37,2.34,0.2,25.12,1.89,5.45,11.61,2.4,4.4,5.23,dry
3,4.49,7.07,5.95,0.17,24.01,1.27,2.32,22.25,4.6,3.57,1.15,full
0.8,6.72,7.57,8.65,1.16,31.93,39,23.25,47.73,6.8,3.57,22.6,filling
2.2,6.02,7.33,6.24,0.49,17.3,22.84,12.88,13.42,0.8,3.57,2.06,filling
2.7,4.2,6.74,6.89,0.68,1.87,56.57,18.85,18.75,1.2,1.43,2.86,full
0.6,3.8,7.77,15.68,3.13,40.37,62.47,37.61,88.49,4,6.75,7.68,dry
0.9,0.95,6.97,9.04,0.81,258.22,16.95,17.14,66.43,8.5,15.29,14.83,dry
2.3,5.36,6.92,14.02,0.38,10.71,3.31,6.7,24.09,2.8,5.47,3.29,emptying
3.1,5.43,7.26,6.88,0.7,42.9,8.08,15.53,18.44,0.5,0.83,1.77,dry
1.5,4.19,7.62,4.39,0.84,35.98,53.02,26.28,75.64,1,4.63,4.12,full
3,6.64,7.02,5.6,0.15,19.57,48.53,6.83,7.5,2.2,10.38,3.98,filling
1.5,7.43,7.15,4.32,0.29,44.47,9.81,0.24,29.44,5.8,18.83,16.97,dry
0.7,5.92,7.22,6.99,1.88,29.5,36.24,25.18,55.84,18.4,4.52,28.6,full
3.2,6.14,7.02,7.19,0.75,15.98,15.1,17.46,19.06,1.2,3.81,1.03,full
3.1,6.03,7.6,6.89,0.1,5.21,39.56,14.94,18.41,0.6,4.76,1.79,dry
3.1,4.51,6.6,5.54,0.41,1.82,8.19,0.24,15.73,1.8,4.48,3.18,full
2.6,0.91,6.7,5.8,5.05,140.99,128.65,21.97,47.11,1.4,6.74,4.52,filling
3,5.6,7,6.62,0.34,59.51,17.35,5.67,9.1,2.2,5.24,1.87,emptying
1.1,4.59,7.45,7.2,1.93,61.25,67.73,5.67,33.67,6.8,10.71,54.3,dry
4,5.98,7.47,2.4,0.14,9.59,22.64,1.28,8.87,1.4,4.52,11.22,dry
3.5,4.54,6.85,6.24,0.24,13.71,3.08,2,13.14,2.8,3.33,1.2,emptying
2.2,4.53,6.99,5.12,0.51,33.57,43.94,9.79,32.39,0.4,1.43,2.27,filling
0.7,5.28,7.27,8.89,2.9,32.28,47.85,15.94,52.7,13.4,5.71,28.7,filling
4,6.69,6.94,4.39,0.53,0.71,104.24,1.63,11.96,1,4.63,14.63,filling
3.2,5.12,7.1,5.38,0.34,4.12,26.64,6.7,7.44,0.8,4.52,1.71,emptying
2.6,3.33,6.71,5.8,0.91,70.94,73.95,19.71,23.74,0.6,2.62,2.92,filling
2,4.24,7.08,3.83,0.51,92.81,35.37,0.89,20.9,3.2,8.81,10.01,filling
3.2,4.09,6.94,8.32,0.61,48.69,9.98,16.49,17.82,0.8,5.71,1.55,full
2.8,3.8,6.72,6.8,0.7,51.2,33.46,15.2,18.13,1.4,5.47,2.72,emptying
1.8,5.77,7.3,4.81,0.27,77.34,41.31,2.33,11.89,6.6,8.57,7.17,dry
2.5,6.64,7.2,6.89,0.65,10.77,38.67,14.43,19.13,1.2,3.81,3.75,full
1.5,7.95,7.1,3.52,0.31,44.47,9.81,4.7,18.81,5.2,20.47,52.3,dry
1.7,6.27,7.26,6.89,0.46,26.23,62.88,1.28,14.01,3.6,3.2,9.39,filling
2.6,1.64,7,7.39,4.08,70.62,46.12,1.97,24.27,4.8,6.64,14.46,emptying
2,5.44,7.21,1.66,0.36,40.66,10.15,28.09,17.19,3.2,7.38,2.15,full
3.1,0.26,6.59,6.8,6.46,222.64,15.33,27.95,66.81,6.4,5.63,10,emptying
1.8,5.76,7.11,5.68,1.81,26.23,34.81,1.97,20.56,3,13.33,2.76,dry
3.2,3.17,6.75,9.7,0.9,21.6,24,14.56,21.87,1,4.76,1.44,full
0.6,5.4,7,4.3,1.25,17.35,19.83,22.75,47.95,15.8,4.99,24.3,full
0.8,4.27,7.27,6.61,1.03,44.78,38.75,8.42,43.37,8.6,6.19,27.45,dry
2.5,4.48,6.78,8.89,0.51,41.34,2.18,19.39,30.59,1.8,9.28,2.31,full
2.5,7.53,7.86,6.89,0.21,15.13,15.24,2.32,6.39,2.2,6.43,1.33,dry
1.5,4.86,7.01,5.8,0.5,13.5,50.17,21.98,25.99,2.8,2.14,8.35,filling
2,5.53,7.42,8.16,0.36,98.35,12.42,0.24,44.87,2.4,7.85,2.26,emptying
2.6,0.49,6.5,6.24,3.91,220.34,7.24,31.62,43.37,5,5.38,4.46,emptying
2.5,5.53,7.15,7.48,0.35,48.24,49.85,12.95,20.3,1.6,5.95,1.67,dry
1.6,7.4,7.13,4.39,0.94,12.99,1.73,29.37,35.27,2.6,5.95,4.54,full
3.9,5.9,6.66,6.89,0.52,30.48,62.43,2.33,8.47,0.4,1.43,0.82,emptying
1,6.78,7.68,9.13,0.98,56.86,6.93,14.56,22.49,5.4,7.14,1.89,dry
3.1,2.77,7.16,6.89,0.79,9.61,135.83,7.39,20.76,9.4,4.41,3.51,dry
3.9,6.35,6.82,6.89,0.44,65.02,10.42,1.36,10.65,0.4,3.09,1.4,emptying
3,6.01,6.67,5.41,1.17,19.57,52.63,9.59,42.13,4.2,5,8.68,full
2.3,6.04,7.35,4.81,0.25,5.21,122.74,1.89,6.44,2.4,7.14,7.06,dry
1.7,6.9,7.52,4.39,0.13,19.57,1.77,2.67,11.79,6.4,7.14,2.24,filling
3.5,3.62,6.64,4.4,1,16.98,7.23,16.81,19.06,0.8,2.62,0.95,emptying
3,6.72,7.48,6.06,0.43,26.95,79.7,12.63,24.05,1.6,5.06,5.68,filling
1,6.28,7,7,1.12,57.85,6.28,15.83,25.92,4.6,6.66,2.53,dry
3,5.02,7,6.4,0.33,46.23,33.07,7.13,12.64,1.6,6.6,3.54,filling
2.5,7.47,7.32,6.56,0.47,27.34,10.29,0.59,15.38,5,39.33,27.1,dry
1.4,7.37,7.69,5.19,0.67,75.55,14.58,14.26,19.72,6,7.62,6.55,filling
2.3,5.79,7.46,8,0.49,26.23,8.28,5.44,43.84,6.6,7.32,2.2,filling
1.6,5.61,7.25,7.84,1.42,169.5,9.42,9.73,18.13,2,6.43,3.61,emptying
2.3,8.14,7.55,8.96,0.54,28.45,8.28,4.74,25.67,4.2,7.32,2.73,filling
0.8,6.47,7.57,8.65,1.08,74.45,98.53,2.58,7.1,13.4,9.41,14.27,dry
3,5.88,7.36,5.25,0.68,55.86,26.52,17.78,26.85,3.5,6.45,4.09,filling
3.7,1.06,6.76,6.89,7.87,15.11,14.55,9.79,17.39,0.8,3.19,14.17,emptying
3.5,5.44,7.07,6.48,0.32,25.55,6.95,1.04,14.7,3.2,4.52,2.33,emptying
2.5,0.29,6.49,12.36,3.39,199.21,11.84,30.66,60.2,8.4,4.7,9.06,filling
3.8,4.81,7.12,6.77,0.06,12.91,24.27,1.28,7.4,2.2,4.28,10.91,filling
2.8,2.14,7.23,7.36,3.18,7.41,35.56,18.38,21.5,7.4,0,17.87,full
1.9,1.35,6.91,8,3.84,76.64,12.71,4.64,37.66,6.8,6.6,20.8,dry
2.4,5.21,7.17,4.8,0.65,174.45,5.27,5.22,15.63,3.2,4.28,1.9,dry
1.1,4.5,7.69,5.8,1.17,9.6,79.78,8.76,27.03,4,19.04,17.75,filling
2.6,7.16,7.63,4.61,0.09,47.31,8.25,2.32,17.52,1.2,7.85,11.42,emptying
3.4,4.97,6.74,3.33,0.27,9.59,43.22,1.28,3.04,1.14,5.23,8.9,filling
1,6.83,7.08,4.39,1.49,12.99,3.15,31.62,51.47,19.8,7.14,11.49,full
3.2,4.18,7.03,3.84,0.36,16.24,15.25,1.28,9.76,1.4,5.95,10.74,filling
3,3.35,7.16,8.16,0.57,71.73,10.15,4.05,12.64,1.4,4.26,11.39,emptying
0.6,5.65,6.97,7.34,1.44,37.09,54.27,10.13,40.37,8.8,0.48,27.03,dry
3.5,6.72,6.99,2.99,0.39,8.48,23.12,0.24,10.93,1,5.47,5.89,full
0.7,3.19,7.13,6.71,0.66,8.04,64.47,18.2,29.24,3.4,4.52,8.66,filling
1.2,5.91,7.76,8.65,0.58,28.45,87.34,3.01,24.3,6,4.4,18.32,dry
3.2,7,7.26,7.92,0.6,18.97,5.33,14.24,17.82,1,3.57,1.29,full
1.9,5.36,7.77,5.92,0.39,7.41,31.04,2.92,9.42,4.4,6.43,5.02,dry
2.5,4.11,7.04,2.45,8.83,24.01,7.46,0.93,15.73,2.8,10.23,2.99,dry
1,4.8,6.89,6.56,1.38,94.62,51.85,18.75,20.93,8.75,11.56,8.47,dry
2.8,4.35,6.58,4.24,0.62,5.15,30.46,2.32,8.53,0.75,7.14,1.93,full
1.6,7.46,7.7,4.94,0.6,186.55,0,14.94,17.39,8,8.57,5.43,filling
2.4,2.43,6.68,8.16,1.22,174.54,9.25,9.41,17.5,1,4.26,5.04,emptying
0.5,6.42,7.43,5.44,1.49,149.89,115.07,12.63,43.06,6.8,4.76,36.8,dry
1.9,6.1,6.57,6.89,0.79,37.38,76.96,8.76,29.96,2.6,1.64,7.53,filling
2,3.6,6.8,6,0.7,29.56,3.86,3.37,6.05,3.6,11.19,16.04,dry
1.4,6.44,7.92,3.8,0.69,15.1,15.27,15.75,15.97,6.6,6.66,25.45,full
2.5,6.2,7.22,3.84,0.38,8.48,7.85,2.32,29.78,2,11.12,3.8,emptying
3.5,6.73,7.67,4.08,1.09,23.96,29.45,14.56,15.95,1,4.05,1.28,emptying
2,6.17,6.7,9.49,0.57,16.22,15.6,6.87,13.36,3.2,9.04,3.22,filling
1,1.63,6.48,7.8,3.08,166.04,43.23,15.82,98.69,15.6,4.72,20.05,full
2.4,6.1,7.72,9.04,0.76,49.75,8.28,4.98,9.52,2.4,9.52,3.46,full
3.3,2.06,6.59,6.77,1.25,12,27.35,22.29,24.36,1.8,1.67,4.78,full
3.2,4.96,7.1,6.24,0.36,8.51,32.33,8.07,10.1,0.8,4.58,1.56,emptying
0.8,7.56,7.54,8.65,0.98,19.97,39.97,21.97,47.42,7.2,4.17,20.9,filling
2,5.53,6.97,6.61,0.4,24.56,6.11,9.73,20.62,7.4,5.71,2.53,dry
1.1,6.24,7.93,5.8,1.17,7.41,45.95,7.04,27.03,4.8,10.23,14.33,filling
1.6,5.82,6.64,9.2,1.54,15.7,4.13,2.24,24.37,4.6,7.85,7.04,dry
2.5,7.1,7.31,6.48,0.54,34,14.6,0.93,19.5,5.2,39.33,31.7,dry
3.2,6.23,6.8,6.77,0.32,9.59,8.67,0.93,9.56,1.4,4.69,5.97,full
0.9,5.82,7.27,8.4,1.96,41.9,36.47,18.42,42.44,3.8,3.57,13.48,filling
3,5.79,7.32,3.52,0.32,10.7,17.04,0.24,24.98,1,6.64,3.68,emptying
2,2.88,6.8,7.78,0.62,103.03,6.09,7.04,12.09,3.4,11.12,5.64,emptying
2.6,6.11,6.76,5.94,0.31,1.82,14.56,0.93,8.19,1,4.64,9.02,filling
0.9,5.33,7.32,8.98,1.94,25.95,33.87,20.36,30.28,4.2,4.76,15.1,filling
3.2,4.25,6.94,8.08,0.54,48.69,11.83,16.17,17.19,0.4,4.76,1.53,full
3,5.11,7.64,6.8,0.53,5.21,1.49,23.53,15.73,0.8,5.71,2.12,full
2.6,4.13,7.5,10.08,0.67,40.88,6.22,3.27,26.03,1.6,5,2.23,emptying
3.2,5.48,7.2,6.8,0.37,10.7,15.97,13.56,16.07,1.6,6.75,2.1,filling
1,6.99,7.07,3.23,0.64,11.81,11.22,0.24,30.47,14.8,10.23,10.99,full
2,3.89,6.52,4.91,0.56,22.9,4.97,0.93,12.64,3.4,10.71,5.3,filling
0.8,6.62,6.81,6.43,2.56,34,27.55,6.82,46.58,12.4,5.61,10.97,filling
2.2,7.36,7.24,4.39,0.4,12.91,9.91,1.63,16.07,2.4,6.66,4.34,full
2.5,4.47,7.11,7.48,0.45,59.1,41.84,17.78,24.05,2.2,4.58,2.87,dry
1.2,6.88,7.3,3.86,0.94,17.15,11.94,1.6,37.08,9.6,14.28,34.6,filling
2.5,4.84,6.77,7.04,0.52,54.16,0.98,2.65,15.95,1.8,8.33,0.78,emptying
2.2,5.16,6.88,6.46,1.16,18.95,10.81,18.58,23.1,1.6,6.19,2.05,full
4,3.57,6.91,6.89,0.44,7.37,151.58,1.28,9.56,1.2,3.19,9.68,emptying
3.3,7.29,7.31,4.16,0.16,19.57,3.04,1.63,9.9,1.8,5.38,2.99,emptying
2.8,4.74,7.41,5.92,0.62,59.84,35.56,9.45,3.57,0.6,3.57,2.41,full
