Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Cluster
34.782609,35.9375,68.914286,0,40.244731,23.934426,47.975078,5.386876,67.346939,65,33.333333,30.909091,4.564336,61.481043,12.059888,6.018091,3.726708,12.712942,8.764697,C1
56.521739,43.75,75.085714,65.921788,34.602311,35.901639,24.299065,4.015671,53.571429,38.055556,30.15873,16.363636,6.663535,47.21564,20.483712,20.65719,4.347826,12.865497,8.505115,C1
60.869565,62.5,78.285714,53.631285,47.246771,23.278689,18.691589,5.680705,30.612245,35.277778,33.333333,27.272727,4.690436,3.157583,23.132609,14.906775,2.484472,9.07704,1.801802,C1
10.869565,54.6875,24.114286,64.24581,51.665534,47.04918,12.305296,19.000979,55.102041,29.722222,30.15873,29.090909,11.346553,32.796209,43.780849,31.013476,16.770186,21.612001,21.66743,C1
47.826087,50,75.314286,37.430168,36.233855,25.737705,16.199377,7.247796,55.102041,32.5,25.396825,25.454545,4.445653,4.135071,36.903587,24.967694,3.726708,10.297483,2.580547,C1
2.173913,32.8125,62.628571,70.949721,66.825289,51.47541,17.757009,29.970617,51.020408,35.277778,36.507937,34.545455,3.733558,35.349526,31.638697,47.932435,57.763975,13.907958,56.329211,C1
23.913043,79.6875,64.342857,47.486034,32.562882,57.377049,23.676012,5.582762,34.693878,54.166667,52.380952,27.272727,5.387697,13.335308,0.674564,26.269153,11.801242,50.826341,11.803329,C1
28.26087,50,57.371429,53.072626,40.244731,33.442623,26.323988,4.113614,59.183673,56.944444,22.222222,9.090909,3.740975,71.469194,11.533399,13.928374,4.968944,8.136283,6.50481,C1
34.782609,57.8125,48.685714,50.27933,17.131203,97.868852,60.124611,4.015671,30.612245,54.166667,57.142857,25.454545,25.143408,19.632701,0.575847,11.039321,8.695652,21.789982,39.838143,C1
8.695652,56.25,42.857143,53.631285,36.097893,35.57377,14.174455,11.067581,63.265306,40.555556,22.222222,25.454545,9.712195,29.283175,14.116486,37.253092,26.708075,16.348843,41.746832,C1
58.695652,68.75,51.2,33.519553,42.828008,29.836066,23.987539,4.3095,51.020408,26.944444,19.047619,18.181818,14.795767,10.977488,29.615005,18.063504,1.863354,6.661581,2.229348,C1
50,62.5,68.914286,43.575419,23.861319,23.114754,18.691589,8.521058,30.612245,27.222222,33.333333,21.818182,10.115221,5.432464,11.467588,7.421082,3.726708,9.687262,3.359291,C1
21.73913,53.125,70.742857,93.296089,18.218899,36.393443,12.305296,6.170421,55.102041,59.444444,11.111111,10.909091,1.560182,9.087678,22.342876,15.100609,40.372671,26.6209,29.775538,C1
67.391304,71.875,65.371429,43.01676,10.129164,64.262295,33.64486,0.587659,51.020408,37.777778,6.349206,5.454545,3.740975,4.117299,1.233959,7.78106,3.10559,26.010679,16.918614,C1
23.913043,59.375,68.228571,41.899441,47.790619,26.065574,15.88785,10.284035,51.020408,48.611111,26.984127,20,14.167738,9.218009,1.233959,20.251061,18.012422,21.612001,38.158497,C1
56.521739,57.8125,65.371429,37.988827,39.42896,13.114754,16.510903,3.623898,42.857143,89.166667,11.111111,3.636364,5.936604,19.721564,10.924646,11.390068,3.10559,20.56954,2.595816,C1
28.26087,65.625,66.285714,38.547486,18.354861,14.918033,20.404984,5.778648,42.857143,65,36.507937,25.454545,2.645633,0.473934,1.809806,23.730847,14.285714,42.359522,5.787143,C1
17.391304,62.5,69.257143,46.927374,15.363698,66.065574,23.676012,8.129285,46.938776,54.166667,1.587302,0,2.645633,10.082938,5.231984,24.367731,43.478261,40.554284,9.60452,C1
30.434783,54.6875,63.314286,36.312849,18.966689,32.95082,13.707165,7.345739,51.020408,28.333333,17.460317,12.727273,55.036594,4.490521,12.01053,23.537013,19.254658,13.907958,3.71049,C1
34.782609,45.3125,85.828571,70.949721,40.244731,52.459016,26.323988,5.680705,51.020408,35.277778,6.349206,16.363636,5.906933,39.638626,11.533399,9.913236,9.31677,8.060005,10.474882,C1
45.652174,65.625,72.914286,41.340782,19.510537,20.163934,12.616822,3.036239,59.183673,56.944444,9.52381,12.727273,2.37118,5.047393,0.674564,25.318442,7.453416,28.273583,4.687739,C1
47.826087,60.9375,43.771429,46.368715,40.244731,13.606557,26.323988,5.778648,53.571429,52.5,22.222222,12.727273,8.513006,5.053318,16.238894,11.45468,9.31677,11.212815,7.650023,C1
13.043478,76.5625,53.142857,32.960894,38.00136,8.688525,41.121495,13.320274,55.612245,40.833333,28.571429,23.636364,23.395312,30.716825,30.552813,17.777368,26.552795,29.392321,12.765308,C1
32.608696,46.875,68,15.083799,40.244731,41.311475,26.323988,7.541626,26.530612,51.388889,26.984127,32.727273,9.242409,45.592417,14.116486,26.112239,7.453416,4.169845,11.329974,C1
56.521739,46.875,67.657143,52.513966,32.562882,32.459016,22.58567,1.665034,46.938776,48.611111,30.15873,10.909091,4.015429,30.918246,10.941099,7.910282,3.10559,26.392067,2.702703,C1
8.695652,48.4375,77.942857,53.631285,34.058464,39.672131,18.691589,15.181195,38.77551,67.5,41.269841,21.818182,2.227772,9.4609,55.972359,37.917667,64.596273,21.789982,17.621011,C1
34.782609,56.25,4,24.022346,35.825969,36.885246,14.485981,8.716944,30.612245,21.666667,20.634921,18.181818,34.74681,1.623223,4.67259,7.78106,32.515528,16.781083,79.233471,C1
13.043478,46.875,64.114286,71.50838,33.378654,40.983607,17.757009,29.480901,51.020408,29.722222,23.809524,30.909091,2.917614,24.075829,26.554788,66.946649,25.465839,17.289601,38.921973,C1
47.826087,54.6875,56.8,11.173184,34.738273,37.213115,20.249221,2.252693,34.693878,27.222222,36.507937,30.909091,12.085847,1.273697,23.659098,12.479232,11.801242,17.54386,3.664682,C1
2.173913,42.1875,78.057143,72.067039,40.924541,29.836066,23.208723,11.459354,71.428571,80.277778,28.571429,23.636364,7.583325,29.004739,6.367226,34.179435,99.378882,13.907958,63.505879,C1
2.173913,57.8125,71.657143,63.128492,30.387492,15.409836,7.009346,14.397649,65.306122,48.611111,22.222222,23.636364,37.061122,68.169431,20.483712,38.203803,20.496894,12.102721,56.02382,C1
47.826087,73.4375,66.514286,78.212291,63.222298,35.245902,33.64486,4.995103,30.612245,54.166667,17.460317,34.545455,0.746712,0.432464,0.559395,18.80192,4.347826,13.323163,2.870667,C1
47.826087,71.875,45.485714,67.039106,61.930659,35.57377,38.94081,6.366308,65.306122,36.666667,17.460317,34.545455,10.107803,3.684834,5.083909,22.48477,4.347826,12.712942,3.237135,C1
39.130435,46.875,64,35.195531,26.104691,40.327869,28.971963,0.979432,42.857143,37.777778,26.984127,23.636364,2.645633,39.4609,2.385653,5.288905,9.31677,26.010679,4.000611,C1
78.26087,54.6875,74.742857,35.75419,23.24949,30.491803,27.725857,4.995103,63.265306,62.222222,60.31746,30.909091,0.175551,61.753555,2.385653,9.497877,2.484472,11.772184,22.171324,C1
23.913043,62.5,60.228571,41.899441,31.883073,30.327869,33.64486,3.819785,30.612245,62.222222,61.904762,34.545455,9.5045,3.353081,0.674564,17.721986,22.360248,23.59522,12.39884,C1
34.782609,67.1875,72.685714,55.307263,36.913664,27.704918,14.485981,8.716944,34.693878,70.277778,17.460317,16.363636,4.289882,24.24763,4.096742,10.891637,10.559006,24.205441,20.75126,C1
45.652174,68.75,61.485714,47.486034,44.255608,19.836066,13.707165,3.232125,59.183673,25.833333,22.222222,12.727273,11.927604,29.531991,21.010201,17.195865,4.347826,15.128401,2.382043,C1
